Date,Open,High,Low,Close,Adj Close,Volume
2021-08-26,14429.000000,14525.000000,14200.009766,14255.830078,14255.830078,1335
2021-08-27,14390.000000,14450.000000,14300.009766,14401.049805,14401.049805,4487
2021-08-30,14400.000000,14710.000000,14400.000000,14704.759766,14704.759766,6250
2021-08-31,14713.599609,14850.000000,14650.000000,14684.519531,14684.519531,3774
2021-09-01,14725.000000,14809.990234,14650.000000,14680.750000,14680.750000,1111
2021-09-02,14670.000000,14799.990234,14620.000000,14628.990234,14628.990234,1895
2021-09-03,14500.009766,14713.259766,14400.009766,14607.209961,14607.209961,1333
2021-09-06,14600.000000,14600.000000,14550.000000,14550.000000,14550.000000,65
2021-09-07,14850.000000,15150.000000,14729.410156,15000.769531,15000.769531,3068
2021-09-08,15100.000000,15200.000000,14800.000000,15022.230469,15022.230469,2206
2021-09-09,15100.000000,15150.000000,15000.000000,15041.820313,15041.820313,2280
2021-09-10,15052.000000,15094.990234,14600.030273,14670.099609,14670.099609,4564
2021-09-13,14600.320313,14799.000000,14048.019531,14747.519531,14747.519531,2284
2021-09-14,14804.320313,14980.000000,14600.009766,14683.259766,14683.259766,2425
2021-09-15,14800.000000,15000.000000,14736.910156,14950.719727,14950.719727,5451
2021-09-17,15025.000000,15220.000000,15020.000000,15195.740234,15195.740234,5078
2021-09-20,14775.070313,14844.000000,14449.990234,14653.799805,14653.799805,6501
2021-09-21,14650.000000,14950.150391,14650.000000,14899.250000,14899.250000,1713
2021-09-22,14851.009766,15102.950195,14851.009766,15083.070313,15083.070313,3374
2021-09-23,15138.330078,15138.330078,15000.000000,15120.040039,15120.040039,1286
2021-09-24,15000.000000,15535.000000,14950.009766,15489.290039,15489.290039,6710
2021-09-27,15488.000000,16050.000000,15487.000000,15887.900391,15887.900391,4304
2021-09-28,15875.000000,16100.000000,15698.000000,15899.980469,15899.980469,2463
2021-09-29,16000.000000,16200.000000,15835.009766,16015.120117,16015.120117,3315
2021-09-30,16000.009766,16251.000000,16000.009766,16046.280273,16046.280273,1523
2021-10-01,15850.000000,15949.990234,15600.019531,15855.169922,15855.169922,2548
2021-10-04,16250.000000,16589.990234,15981.000000,16044.959961,16044.959961,3081
2021-10-05,16150.000000,16384.990234,15900.059570,16115.230469,16115.230469,2587
2021-10-06,16110.000000,16300.000000,16050.000000,16084.150391,16084.150391,3676
2021-10-07,16225.139648,16600.000000,16200.250000,16424.810547,16424.810547,2415
2021-10-08,16341.000000,16424.849609,16200.240234,16306.129883,16306.129883,2934
2021-10-11,16500.000000,16625.000000,16440.029297,16557.589844,16557.589844,3458
2021-10-12,16639.990234,16890.000000,16639.990234,16690.589844,16690.589844,3028
2021-10-13,16690.589844,16806.830078,16658.369141,16743.529297,16743.529297,1460
2021-10-14,16790.000000,16889.990234,16789.990234,16800.000000,16800.000000,3056
2021-10-15,16890.000000,17149.990234,16890.000000,17105.460938,17105.460938,4792
2021-10-18,17300.000000,17800.000000,17300.000000,17727.199219,17727.199219,5408
2021-10-19,17760.050781,17889.990234,17480.000000,17520.980469,17520.980469,3049
2021-10-20,17479.990234,17538.990234,17351.009766,17450.619141,17450.619141,3346
2021-10-21,17353.000000,18234.000000,17353.000000,18155.000000,18155.000000,5110
2021-10-22,18180.000000,18350.000000,18100.009766,18338.460938,18338.460938,4071
2021-10-25,19000.000000,21000.000000,19000.000000,20696.050781,20696.050781,15914
2021-10-26,20796.289063,22093.000000,20300.000000,20598.390625,20598.390625,10442
2021-10-27,20750.000000,21581.000000,20750.000000,21063.279297,21063.279297,7076
2021-10-28,21590.410156,21976.970703,21450.009766,21879.970703,21879.970703,38294
2021-10-29,22100.000000,22930.000000,21958.769531,22866.910156,22866.910156,6363
2021-11-01,23660.000000,25100.000000,23250.009766,24949.339844,24949.339844,20747
2021-11-03,24948.990234,25019.619141,23987.179688,24958.679688,24958.679688,49802
2021-11-04,25420.000000,25649.880859,25121.400391,25343.210938,25343.210938,8422
2021-11-05,25282.000000,25316.140625,24749.740234,24842.539063,24842.539063,2563
2021-11-08,23999.699219,24250.050781,23008.009766,23747.640625,23747.640625,8381
2021-11-09,23700.000000,23700.000000,20598.050781,20745.869141,20745.869141,13627
2021-11-10,20555.000000,22149.990234,20100.009766,22040.720703,22040.720703,13414
2021-11-11,22493.599609,22493.599609,21678.000000,21990.359375,21990.359375,3022
2021-11-12,21669.000000,21669.000000,20968.509766,21217.960938,21217.960938,3402
2021-11-16,20799.679688,21959.990234,20799.679688,21874.779297,21874.779297,4186
2021-11-17,21999.000000,23199.990234,21874.779297,22546.109375,22546.109375,4581
2021-11-18,23100.000000,23139.990234,22348.080078,22794.529297,22794.529297,5060
2021-11-19,22800.000000,23732.849609,22727.220703,23627.589844,23627.589844,8277
2021-11-22,24300.000000,25150.000000,23801.439453,24372.369141,24372.369141,14099
2021-11-23,24714.849609,24927.589844,22629.199219,23537.820313,23537.820313,15552
2021-11-24,23486.000000,24249.990234,22932.599609,23860.289063,23860.289063,2912
2021-11-25,24000.000000,24000.000000,24000.000000,24000.000000,24000.000000,28
2021-11-26,23925.330078,24110.150391,23550.599609,23781.000000,23781.000000,4535
2021-11-29,24280.000000,24738.929688,24150.000000,24605.439453,24605.439453,3446
2021-11-30,24848.390625,24900.000000,24050.000000,24422.150391,24422.150391,4817
2021-12-01,24580.509766,24849.990234,23379.660156,23660.189453,23660.189453,4322
2021-12-02,23521.039063,23631.619141,22500.000000,23083.900391,23083.900391,4157
2021-12-03,22750.000000,22750.000000,21345.000000,21426.650391,21426.650391,4382
2021-12-06,21500.000000,21617.779297,20500.000000,21386.060547,21386.060547,5192
2021-12-07,21800.000000,22299.990234,21730.000000,22007.119141,22007.119141,2624
2021-12-08,22249.990234,22455.000000,21700.000000,22397.820313,22397.820313,3029
2021-12-09,22340.000000,22340.000000,21035.890625,21054.310547,21054.310547,2092
2021-12-10,20950.000000,21290.000000,20650.000000,21261.820313,21261.820313,1511
2021-12-13,21054.000000,21054.000000,19973.650391,20310.289063,20310.289063,3503
2021-12-14,19970.000000,20545.369141,19724.390625,20410.570313,20410.570313,2179
2021-12-15,20148.460938,20561.650391,19795.000000,20442.689453,20442.689453,1750
2021-12-16,20740.000000,20740.000000,19200.009766,19294.480469,19294.480469,3203
2021-12-17,19000.000000,19989.990234,18850.009766,19465.820313,19465.820313,3409
2021-12-20,19000.000000,19000.000000,18585.009766,18683.810547,18683.810547,2775
2021-12-21,18834.220703,19499.980469,18450.000000,19463.849609,19463.849609,3712
2021-12-22,19999.990234,21049.990234,19940.000000,20860.880859,20860.880859,16460
2021-12-23,20823.289063,22130.000000,20670.000000,22028.800781,22028.800781,10510
2021-12-24,22260.000000,22260.000000,22050.000000,22050.000000,22050.000000,78
2021-12-27,22160.250000,23060.000000,22160.250000,22548.570313,22548.570313,3629
2021-12-28,22810.220703,23000.000000,22202.609375,22582.570313,22582.570313,2428
2021-12-29,22750.000000,22750.000000,22053.789063,22431.150391,22431.150391,7266
2021-12-30,21900.000000,22450.000000,21810.000000,21922.810547,21922.810547,5175
2021-12-31,21840.000000,21999.990234,21679.000000,21683.150391,21683.150391,2027
2022-01-03,23359.679688,24600.000000,23359.679688,24529.349609,24529.349609,19930
2022-01-04,24600.000000,24750.000000,23125.000000,23671.089844,23671.089844,20004
2022-01-05,23500.000000,23837.000000,22258.929688,22512.490234,22512.490234,5299
2022-01-06,22100.000000,22216.189453,20999.990234,21885.480469,21885.480469,4315
2022-01-07,21968.119141,22294.189453,20668.099609,20932.929688,20932.929688,2343
2022-01-10,20928.890625,21531.000000,20100.009766,21393.900391,21393.900391,3898
2022-01-11,21395.000000,21999.990234,21303.240234,21616.449219,21616.449219,3006
2022-01-12,21900.000000,22685.000000,21840.000000,22556.980469,22556.980469,3022
2022-01-13,22475.150391,22600.000000,20912.000000,21013.380859,21013.380859,2378
2022-01-14,20700.000000,21323.289063,20700.000000,21287.080078,21287.080078,3115
2022-01-17,21212.869141,21305.000000,21212.869141,21305.000000,21305.000000,62
2022-01-18,20990.000000,21740.000000,20844.119141,21083.939453,21083.939453,3523
2022-01-19,21386.000000,21386.000000,20400.000000,20490.890625,20490.890625,3965
2022-01-20,20540.000000,21250.189453,20472.849609,20521.029297,20521.029297,3181
2022-01-21,20525.000000,20539.429688,19337.960938,19397.009766,19397.009766,5004
2022-01-24,18974.000000,19156.000000,17500.609375,18942.730469,18942.730469,10271
2022-01-25,18899.000000,19590.000000,18700.089844,19095.279297,19095.279297,2469
2022-01-26,19700.000000,20349.990234,18760.000000,19343.220703,19343.220703,24333
2022-01-27,19611.000000,19611.000000,17250.000000,17376.550781,17376.550781,29255
2022-01-28,17199.990234,17815.000000,16499.990234,17445.830078,17445.830078,6245
2022-01-31,17847.000000,19313.640625,17847.000000,19249.179688,19249.179688,9517
2022-02-01,19313.640625,19400.000000,18650.000000,19135.269531,19135.269531,8725
2022-02-02,19133.900391,19399.990234,18380.000000,18617.419922,18617.419922,2565
2022-02-03,18300.000000,19200.000000,18144.009766,18399.429688,18399.429688,2612
2022-02-04,18616.699219,19309.000000,18320.000000,19135.320313,19135.320313,4355
2022-02-08,19100.000000,19100.000000,18500.000000,19023.000000,19023.000000,1151
